4546572015@Theni- Madurai, India@9.9321764@78.0845602
1428714625@Haslemere, United Kingdom@51.0888@-0.70877
6767853251@Barbil- Dhenkanal, India@NA@NA
8092987783@Dominican Republic, Dominican Republic@18.699574@-70.161735
9694786046@F.R. Lakki Marwat, Pakistan@32.60816@70.91458
1771526048@Maud, United Kingdom@57.52112@-2.12852
1954287789@Madingley, United Kingdom@52.2264@0.04325
4769372508@Möllbrücke, Austria@52.2264@0.04325
1423410474@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1426799140@Jamwa-Ramgarh (Achrol)- Jaipur, India@27.1418@75.963058
1424201578@Hastings, United Kingdom@50.85711@0.57787
1227296046@Canterbury, United Kingdom@51.27597@1.07561
1699876042@Guba, Azerbaijan@41.36136@48.51804
1425586238@Ringwood, United Kingdom@50.84646@-1.79342
1423409160@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
8215186044@Comy, Russian Federation@61.521403@-74.679494
9624626048@Tapachula- Chis., Mexico@14.91118@-92.26461
1423407769@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
3299747783@Bucerias, Mexico@20.75061@-105.321869
4519286044@Hässleholm, Sweden@20.75061@-105.321869
6004916049@Mhangura, Zimbabwe@-16.89251@30.1653
9429306045@Dorotea, Sweden@64.262@16.41513
2927866042@Osian (E) (Dhanwara)- Jodhpur, India@26.83859@73.25282
1423414824@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408912@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423440670@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408912@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408912@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408912@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408912@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408913@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423410878@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423410878@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423410878@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
4597452146@Pampanga, Philippines@15.079409@120.6199895
1423410878@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423410878@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
9346142146@Robertsfors, Sweden@64.19083@20.85318
1423410878@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423410878@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1327426266@Daventry, United Kingdom@52.26054@-1.16178
2915511615@Drosendorf-Zissersdorf, Austria@48.86817@15.62009
3791456158@Taliha- Arunachal Pradesh (Zero), India@27.60182@93.820851
4514301615@Hässleholm, Sweden@27.60182@93.820851
1423407585@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
5364891615@Mashivka, Ukraine@49.44379@34.87116
5976701321@Winschoten, Netherlands@53.14661@7.04508
6450501615@Termas del Arapey, Uruguay@-30.94719@-57.52151
7988994245@Macheke, Zimbabwe@-18.13705@31.84819
8417753235@Chevella- Hyderabad, India@17.30901@78.141998
1428714625@Haslemere, United Kingdom@51.0888@-0.70877
1436799319@Helensburgh, United Kingdom@56.00685@-4.73188
1436184316@Helensburgh, United Kingdom@56.00685@-4.73188
1423407586@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
5891489176@Arboga, Sweden@59.39616@15.84136
7835129016@Bharathpur- Sarguja (Ambikapur), India@22.98411@83.04711
1925786154@Warrington, United Kingdom@53.39383@-2.58925
1436664922@Helensburgh, United Kingdom@56.00685@-4.73188
3891306154@Monteagudo, Argentina@-27.51243@-65.27765
4864926154@Liubashivka, Ukraine@47.083333@30.033333
1428714625@Haslemere, United Kingdom@51.0888@-0.70877
8358473235@Basavanabagewadi- Bijapur, India@16.5681108@75.9753516
8933256155@Bheemunipatnam- Visakhapatnam, India@17.88935@83.45038
1168537754@Leicester, United Kingdom@52.63796@-1.14043
1693081775@Barwala- Hissar, India@29.363581@75.903137
4115257754@Madurantagam- Chengalpattu (Kancheepuram), India@12.68384@79.98368
6643265622@Barkot- Sambalpur, India@21.4668716@83.9811665
8890519164@Agawa District- Kochi, Japan@33.637329@133.243988
1714728182@Cherven, Belarus@53.740565@28.4890541
2202589252@Bergisch Gladbach, Germany@50.9917@7.1331
8293322026@Barkhan, Pakistan@29.96111@69.48266
8835484242@Awa District- Tokushima, Japan@33.895305@134.241501
1424567556@Hastings, United Kingdom@50.85711@0.57787
1673735309@Market Rasen, United Kingdom@53.38684@-0.33327
1423408686@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
4540214156@Giresun, Turkey@40.91753200000001@38.392653
5241069712@Novhorodka, Ukraine@48.36256@32.66066
1423414777@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1214243700@Birmingham, United Kingdom@52.47868@-1.90848
1423416243@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1425847842@Ringwood, United Kingdom@50.84646@-1.79342
8331657194@Raibag (Kudchi)- Belgaum, India@16.49975@74.751831
9504084192@Lycksele, Sweden@64.59402@18.67817
1433250939@Hathersage, United Kingdom@53.33005@-1.65661
1556175869@Castle Douglas, United Kingdom@54.94175@-3.92839
3222406322@Kurgan-Tube, Tajikistan@37.83333@68.77426
3559351734@Caras - Severin, Romania@45.28781@21.88783
3881997755@Grevesmühlen, Germany@45.28781@21.88783
1423424103@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423424103@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423424104@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1431634547@Helmsdale, United Kingdom@58.11574@-3.65111
1349535123@Dingwall, United Kingdom@57.59618@-4.43142
6427347274@Kathikund- Deoghar (Dumka), India@NA@NA
7291898134@Manawar- Dhar, India@22.23754@75.08874
1426169121@Jamwa-Ramgarh (Achrol)- Jaipur, India@27.1418@75.963058
1423821545@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423507969@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
7937502033@Shangrao- JX, China@28.45452@117.94362
1424217497@Hastings, United Kingdom@50.85711@0.57787
1024988133@Khojali, Azerbaijan@39.828446@46.76256
1423407361@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423407369@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
6858581813@Nowrangapur- Koraput, India@19.2281434@82.54698979999999
1423407371@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423407359@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1436373918@Helensburgh, United Kingdom@56.00685@-4.73188
1905704193@Worcester, United Kingdom@52.19107@-2.22223
1431701713@Helmsdale, United Kingdom@58.11574@-3.65111
5520777272@Colonia Piamontesa, Uruguay@-34.35648@-57.30127
1423407361@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
9234631910@Kalix, Sweden@65.85512@23.14386
1733867276@Peterborough, United Kingdom@52.5734@-0.24841
2389498137@Werne, Germany@51.665041@7.631431000000001
1510859538@Liverpool, United Kingdom@53.4101@-2.97844
6959431724@Stugun, Sweden@63.16754@15.60252
7108877404@Xiangfan- HB, China@NA@NA
1435147235@Heathfield, United Kingdom@50.9667401@0.2564428
2215773044@Probstdorf, Austria@50.9667401@0.2564428
1433357149@Hathersage, United Kingdom@53.33005@-1.65661
7295704124@Badnawar- Dhar, India@23.02151@75.23611
1423407878@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1435088717@Heathfield, United Kingdom@50.9667401@0.2564428
3556314126@Dubno, Ukraine@50.4009139@25.7590673
4683874127@Covadonga, Mexico@19.2779075@-98.9121169
7883297246@Durg- Durg, India@21.18971@81.28447
8886217177@Kochi, Japan@NA@NA
9878364126@Cozumel, Mexico@20.49994@-86.95436
1423407458@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1412472133@Glasgow, United Kingdom@55.85782@-4.24253
4222914128@Ganderkesee, Germany@53.0349245@8.5426865
5583044125@Lech, Austria@47.2083@10.14178
7235187243@Pandharkawada- Yeotmal, India@20.02326@78.551018
6275144126@Rosera- Darbhanga, India@25.9430404@86.0467745
7841147404@Sarona- Jagdalpur, India@19.0740973@82.00801400000002
8999334145@Reynosa- Tamps., Mexico@26.0508406@-98.29789509999999
9670206024@Candelaria- La, Mexico@18.1845319@-91.04185679999999
6960451724@Hammarstrand, Sweden@63.11003@16.35412
7109847404@Kamptee- Nagpur, India@21.21241@79.19715
1435147235@Heathfield, United Kingdom@50.9667401@0.2564428
2216643044@Leopoldsdorf im Marchfelde, Austria@50.9667401@0.2564428
1433357149@Hathersage, United Kingdom@53.33005@-1.65661
7296664124@Sardarpur- Dhar, India@22.66647@74.97619
1423407878@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1435088717@Heathfield, United Kingdom@50.9667401@0.2564428
3557324126@Hrymailiv, Ukraine@49.33086@26.01188
4684624127@Covadonga, Mexico@19.2779075@-98.9121169
7884377246@Durg- Durg, India@21.18971@81.28447
8887217177@Kochi, Japan@33.5588035@133.5311675
9879724126@Cozumel, Mexico@20.49994@-86.95436
1423407458@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1413732133@Glasgow, United Kingdom@55.85782@-4.24253
4223914128@Ganderkesee-Bookholzberg, Germany@53.0969148@8.534243199999999
5583964125@Lech, Austria@47.2083@10.14178
7236577243@Maregaon- Yeotmal, India@20.105567@78.8056989
6276194126@Madhubani- Darbhanga, India@26.111868@85.89600399999999
7842567404@Saint Vincent and the Grenadines, Saint Vincent and the Grenadines@12.97942@-61.286566
9000304145@Umeå, Sweden@63.828529@20.280029
9671186024@Candelaria- La, Mexico@18.1845319@-91.04185679999999
1981596197@Wormbridge, United Kingdom@51.97695@-2.82891
3961113519@Altentreptow, Germany@53.69187@13.2517
5561744693@Salempur-Ii (Barhaj)- Deoria, India@26.2883327@83.7252266
7595773179@Nateran- Vidisha, India@23.77992@77.80225
1423407541@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408318@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1435873949@Heathfield, United Kingdom@50.9667401@0.2564428
1955055743@Wick, United Kingdom@58.438936@-3.093716
4684145744@Covadonga, Mexico@19.2779075@-98.9121169
5887652242@Santa Ana, Uruguay@-34.7896549@-55.4665466
6640496188@Bagdihi- Sambalpur, India@21.9511623@84.1865353
7663137606@Mauganj- Rewa, India@24.6696723@81.8810227
8769713093@Jamaica, Jamaica@18.1152@-77.15982
9870212052@Cozumel, Mexico@20.49994@-86.95436
1878028507@Lochboisdale, United Kingdom@57.15308@-7.30725
1031339703@Johannesburg, South Africa@-26.20489@28.04001
1788279799@Rugby, United Kingdom@52.37036@-1.26079
4911595107@Oskarshamn-Högsby, Sweden@52.37036@-1.26079
9915464804@Baca, Mexico@21.10892@-89.39906
3269770001@Borynia, Ukraine@49.0766296@22.9968534
1423409216@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
4684413157@Covadonga, Mexico@19.2779075@-98.9121169
5782677801@Epe, Netherlands@52.352@5.9864
1431634547@Helmsdale, United Kingdom@58.11574@-3.65111
8829938327@Bhimadole- Eluru, India@16.822599@81.262657
1982926197@Builth Wells, United Kingdom@52.14824@-3.40306
3962013519@Penzlin b Waren, Germany@53.510145@12.68168
5562744693@Colonia Cosmopolita, Uruguay@-34.38412@-57.40066
7596683179@Gyraspur- Vidisha, India@23.67569@78.11015
1423407541@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408318@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1435873949@Heathfield, United Kingdom@50.9667401@0.2564428
1956355743@Uri- Srinagar, India@34.0836581@74.7973681
4685135744@Covadonga, Mexico@19.2779075@-98.9121169
5888622242@Santa Ana, Uruguay@-34.7896549@-55.4665466
6641386188@Deodgarh- Sambalpur, India@21.45365@84.00304
7664137606@Hanumana- Rewa, India@24.77951@82.0941
8770523093@Adigeya, Russian Federation@61.521403@-74.679494
9871382052@Cozumel, Mexico@20.49994@-86.95436
1879198507@Scarinish, United Kingdom@56.50103@-6.80719
1032259703@Johannesburg, South Africa@-26.20489@28.04001
1789119799@Stratford-upon-Avon, United Kingdom@52.19425@-1.70752
4912615107@Ryazan', Russian Federation@54.615051@39.705195
9916494804@Baca, Mexico@21.10892@-89.39906
3270630001@Amado Nervo (El Conde), Mexico@21.083191@-104.730499
1423409216@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
4685603157@Covadonga, Mexico@19.2779075@-98.9121169
5321447608@Poltava, Ukraine@49.58771@34.55171
5783517801@Epe, Netherlands@52.352@5.9864
1431634547@Helmsdale, United Kingdom@58.11574@-3.65111
8830798327@Awa District- Tokushima, Japan@33.895305@134.241501
6954748504@Stugun, Sweden@63.16754@15.60252
8249538504@Loralai, Pakistan@30.3622@68.59538
7289528186@Zhirnia- Khargone, India@21.82576@75.6213
9217728186@Boden, Sweden@65.82391@21.68933
1510859538@Liverpool, United Kingdom@53.4101@-2.97844
1497778185@Hay-on-Wye, United Kingdom@52.072021@-3.12766
1423409317@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
2207343236@Kürten-Dürscheid, Germany@54.09406@-1.49473
3545118187@Pintado, Uruguay@-33.83421@-56.30462
4728497026@Nedumandad- Thiruvananthapuram, India@8.60329@77.00248
1423408526@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423409472@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
7518973234@Ahuehuetzingo, Mexico@18.4874999@-98.63638879999999
1423408727@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423409195@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423409227@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1551257025@Nyköping-Oxelösund, Sweden@54.09406@-1.49473
1423409287@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
3925835555@Stassfurt, Germany@54.09406@-1.49473
4897589312@Kadamath- Kavarathy, India@21.504394@82.71767
6524629312@Gumla- Ranchi, India@23.35056@85.31353
7119809312@Nyala, Sudan@12.06005@24.87205
7503709312@Jiangmen- GD, China@28.45252@105.321
8463539312@Armoor- Nizamabad, India@18.78975@78.28874
1235949312@Abingdon, United Kingdom@51.67384@-1.28589
1423415414@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
3455302011@Jabarrasulov (former Proletarskiy), Tajikistan@38.85819@71.262176
1423411553@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
5243352564@Maurach, Austria@47.42321@11.75292
5952014088@Warffum, Netherlands@53.3922@6.55083
7684789312@Baldeogarh- Chhatarpur, India@24.7490242@79.0673302
1423410357@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423413998@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1057047653@Johannesburg, South Africa@-26.20489@28.04001
2571909095@Greven Westf, Germany@52.1706696@7.512888299999999
1423410356@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
4415638184@Halach, Turkmenistan@38.0705@64.88516
5489799313@El Masalamia, Sudan@38.0705@64.88516
1423409186@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1431634547@Helmsdale, United Kingdom@58.11574@-3.65111
1314547203@Edinburgh, United Kingdom@55.95416@-3.20277
2599639163@Bhudargad (Gargoti)- Kolhapur, India@16.314502@74.139044
3952355679@Irkutsk, Russian Federation@52.30695@104.273529
1389985932@Dumbarton, United Kingdom@55.94317@-4.57011
8092255153@Dominican Republic, Dominican Republic@18.699574@-70.161735
8837847854@Awa District- Tokushima, Japan@33.895305@134.241501
9888884065@Acanceh, Mexico@20.8126@-89.45344
1548776052@Kingsbridge, United Kingdom@50.28311@-3.77761
2937338433@Raipur- Pali (Marwar), India@25.788761@73.3372
4740085634@Vatutine, Ukraine@49.0149775@31.0539029
5915447022@Hällefors - Grythyttan, Sweden@49.0149775@31.0539029
6253814804@Narkatiaganj- Motihari, India@NA@NA
8239339543@Killa Saifullah, Pakistan@30.693029@68.356339
1014003053@Johannesburg, South Africa@-26.20489@28.04001
1478545152@Isle of Skye - Portree, United Kingdom@57.41276@-6.19607
2209217542@Hallstahammar-Surahammar, Sweden@59.706305@16.225955
2795987547@Kodinar- Junagarh, India@20.8214@70.699928
4926197024@Shoranur- Palghat, India@10.7676064@76.2652909
5289658327@Häusling, Austria@10.7676064@76.2652909
1431634547@Helmsdale, United Kingdom@58.11574@-3.65111
5964632128@Pithoragarh- Almora, India@29.600354@79.65469
1428714625@Haslemere, United Kingdom@51.0888@-0.70877
1510859538@Liverpool, United Kingdom@53.4101@-2.97844
1550661267@Llandovery, United Kingdom@51.99426@-3.80034
1423408140@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
4117662153@Ystad, Sweden@55.4295051@13.8200308
5985817146@Hoogezand, Netherlands@53.15557@6.75465
1423408136@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1424218150@Hastings, United Kingdom@50.85711@0.57787
8979871302@Arcabuz, Mexico@50.85711@0.57787
1664022157@Melton Mowbray, United Kingdom@52.76628@-0.88974
1423408139@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423410801@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
5352765045@Shyshaky, Ukraine@49.883255@34.0040405
1423408136@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408136@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1290644847@Cumnock, United Kingdom@55.45319@-4.26408
1423409882@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408139@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
6950232675@Stugun, Sweden@63.16754@15.60252
8973248562@Arcabuz, Mexico@63.16754@15.60252
1551091267@Nyköping-Oxelösund, Sweden@63.16754@15.60252
1423408140@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
4118582153@Tiruttani- Chengalpattu (Kancheepuram), India@12.68384@79.98368
5986757146@Hoogezand, Netherlands@53.15557@6.75465
1423408136@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1424218150@Hastings, United Kingdom@50.85711@0.57787
8980841302@Imabari- Ehime, Japan@34.02232@132.937637
1664892157@Melton Mowbray, United Kingdom@52.76628@-0.88974
1423408139@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423410801@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
5355995045@Komyshnia, Ukraine@50.185068@33.679212
1423408136@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408136@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1291544847@Chepstow, United Kingdom@51.6379@-2.67923
1423409882@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423408139@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
6951142675@Stugun, Sweden@63.16754@15.60252
8974298562@Arcabuz, Mexico@63.16754@15.60252
1090513883@Johannesburg, South Africa@-26.20489@28.04001
3934004804@Vaggeryd, Sweden@57.4989621@14.1486297
1213953059@Birmingham, United Kingdom@52.47868@-1.90848
3935124804@Tangerhütte, Germany@52.47868@-1.90848
5239074804@Ustynivka, Ukraine@47.9618782@32.5369935
8291745407@Barkhan, Pakistan@29.96111@69.48266
1423409212@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423409278@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
9692004806@F.R. Lakki Marwat, Pakistan@32.60816@70.91458
1423407811@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1427636233@Gainsborough, United Kingdom@53.39592@-0.77281
1893615202@Nurpur- Kangra (Dharamsala), India@32.097451@76.271766
3727534803@Mittweida, Germany@50.9853149@12.9740557
1429248620@Hartlepool, United Kingdom@54.68538@-1.21322
7290518135@Badwani- Khargone, India@21.82576@75.6213
8204494804@Cherepovets, Russian Federation@59.125885@37.889269
1423407567@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1682664804@Zira- Ferozepur, India@30.9685312@74.9880895
8359777853@Indi- Bijapur, India@17.1751648@75.9554927
8778847853@Adigeya, Russian Federation@61.521403@-74.679494
1887467859@Aberfeldy, United Kingdom@56.61907@-3.86667
1431360923@Helmsdale, United Kingdom@58.11574@-3.65111
3540767852@Zalozhtsi, Ukraine@49.79697@25.381189
3992297852@San Jacinto, Uruguay@-34.54699@-55.87414
4499177852@Mariscala, Uruguay@-34.0428@-54.78244
5002708162@Skövde, Sweden@-34.0428@-54.78244
1435601736@Heathfield, United Kingdom@50.9667401@0.2564428
9950772813@Haripur, Pakistan@34.01619@72.91096
1427040677@Gainsborough, United Kingdom@53.39592@-0.77281
1423407678@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423407463@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
8669558323@Kabardino-Balkaria, Russian Federation@43.454124@43.438105
9955261954@Haripur, Pakistan@34.01619@72.91096
4941161512@Kisa, Sweden@57.98724@15.63448
1423409850@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
7944051713@Sandl, Austria@48.55997@14.6453
1436731819@Helensburgh, United Kingdom@56.00685@-4.73188
4555629364@J.P.Varela, Uruguay@-32.565079@-55.758324
5886288327@Santa Ana, Uruguay@-34.7896549@-55.4665466
1423407463@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423948227@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1428328534@Haslemere, United Kingdom@51.0888@-0.70877
1425762298@Ringwood, United Kingdom@50.84646@-1.79342
1189258323@Reading, United Kingdom@51.45352@-0.96301
1976199039@Amb- Hamirpur, India@31.72694@76.45407
3572812142@Judenburg, Austria@47.16826@14.65811
1423971078@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1050776472@Johannesburg, South Africa@-26.20489@28.04001
1423417123@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
3892494165@Amaicha Del Valle, Argentina@54.09406@-1.49473
1430751274@North Cave / Market Weighton, United Kingdom@53.8473022@-0.6372897
1430667326@North Cave / Market Weighton, United Kingdom@53.8473022@-0.6372897
1423408338@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
7839446474@San Miguel / Misiones, Paraguay@-26.53522@-57.03914
8543746477@Wanaparthy- Mahabubnagar, India@16.359699@78.060188
1423409321@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1438406476@Stevenage, United Kingdom@51.90561@-0.18868
1424460637@Hastings, United Kingdom@50.85711@0.57787
4623936473@Bhandaria, Bangladesh@22.48539@90.06641
5653872263@Vilnohirsk, Ukraine@48.47845@34.01934
1424716128@Hastings, United Kingdom@50.85711@0.57787
1423408150@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423409127@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423409127@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1675186479@Coleshill, United Kingdom@52.499599@-1.706495
2736466477@Burbach Siegerl, Germany@50.42873@8.66477
8410754388@Wau, Sudan@7.69669@27.98615
1423409374@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
3326324164@Fulgazi, Bangladesh@23.1667@91.433296
1423971078@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1052086472@Johannesburg, South Africa@-26.20489@28.04001
1423417123@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
3893634165@Milpas Viejas, Mexico@20.9333@-99.333298
1430751274@North Cave / Market Weighton, United Kingdom@53.8473022@-0.6372897
1430667326@North Cave / Market Weighton, United Kingdom@53.8473022@-0.6372897
1423408338@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
7840286474@Koyelibeda- Jagdalpur, India@19.08532@82.01826
8544656477@Slenta, Libya@26.338519@17.268815
1423409321@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1439536476@Helmsley, United Kingdom@54.24599@-1.06077
1424460637@Hastings, United Kingdom@50.85711@0.57787
4624936473@Kaokhali, Bangladesh@22.633301@90.066704
5654922263@Murgap, Turkmenistan@37.49524@61.97859
1424716128@Hastings, United Kingdom@50.85711@0.57787
1423408150@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423409127@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1423409127@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1676166479@Meriden, United Kingdom@52.43776@-1.64976
2737546477@Tharad- Palanpur, India@24.39436@71.627647
8411794388@Tanduru- Hyderabad, India@17.41141@78.48479
1423409374@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
3327174164@Werder Havel, Germany@52.37675@12.93368
1433250939@Hathersage, United Kingdom@53.33005@-1.65661
1430932824@North Cave / Market Weighton, United Kingdom@53.8473022@-0.6372897
8538341404@Manvi- Raichur, India@15.99948@77.0479
1229144242@Barrow-in-Furness / Millom, United Kingdom@54.2086701@-3.261023
1215661111@Birmingham, United Kingdom@52.47868@-1.90848
1423407537@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
6634898477@Husum, Sweden@54.09406@-1.49473
7569537168@Concession, Zimbabwe@-17.38953@30.93985
7997073179@Mihara District- Hyogo, Japan@34.9519783@134.4225504
1423416776@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
9818716786@Vittangi, Sweden@67.67747@21.64572
1434990040@Bellingham / Haltwhistle / Hexham, United Kingdom@54.96908@-2.107185
1430773093@North Cave / Market Weighton, United Kingdom@53.8473022@-0.6372897
3623734044@Barama- Guwahati, India@26.162155@91.744832
4777567064@Punta del Diablo, Uruguay@-34.04628@-53.5386
5587281404@Nkayi, Zimbabwe@-19.00988@28.89574
6802914045@Sveg, Sweden@-19.00988@28.89574
1436658997@Helensburgh, United Kingdom@56.00685@-4.73188
1423407781@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1143284043@Sheffield, United Kingdom@53.38311@-1.46455
1319364370@Edinburgh, United Kingdom@55.95416@-3.20277
1423410087@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
8547324846@Slenta, Libya@26.338519@17.268815
1424108735@Hastings, United Kingdom@50.85711@0.57787
1243985706@Chichester, United Kingdom@50.83616@-0.77543
1579984192@Liskeard, United Kingdom@50.45382@-4.46607
2659549293@Zulia, Venezuela@10.0272@-71.61617
3780794846@Dirang- Arunachal Pradesh (Zero), India@27.60182@93.820851
4364497178@Mayiladuthurai- Thanjavur, India@11.1018399@79.65222179999999
4879886106@Sankt Veit in Defereggen, Austria@46.9254@12.42489
5889166468@Santa Ana, Uruguay@-34.7896549@-55.4665466
6599674846@Abraham Gonzalez, Mexico@19.3867819@-99.2034047
7494994842@Kolaras- Shivpuri, India@25.22628@77.60844
8292166103@Barkhan, Pakistan@29.96111@69.48266
8968302672@Iyomishima- Ehime, Japan@33.979679@133.542648
9581252138@Candelaria Loxicha, Mexico@15.92622@-96.49179
1423410086@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
1927569292@Kesen District- Iwate, Japan@39.181114@141.551178
3632734046@Zarichne, Ukraine@51.81818939999999@26.1255724
3945514842@Tup (Tup district), Kyrgyz Republic@42.726795@78.357276
4263092672@Scheessel, Germany@42.726795@78.357276
1319364370@Edinburgh, United Kingdom@55.95416@-3.20277
1423410087@Harrogate / Boroughbridge, United Kingdom@54.09406@-1.49473
8547844846@Slenta, Libya@26.338519@17.268815
1424108735@Hastings, United Kingdom@50.85711@0.57787
1244725706@Chester, United Kingdom@53.18813@-2.89435
